"filename", "language", "Shell Script", "C++", "Python", "Markdown", "C", "Makefile", "XML", "YAML", "comment", "blank", "total"
"/home/vash/anduril-1-vash/fsm/events.c", "C", 0, 0, 0, 0, 109, 0, 0, 0, 66, 24, 199
"/home/vash/anduril-1-vash/fsm/events.h", "C++", 0, 152, 0, 0, 0, 0, 0, 0, 35, 35, 222
"/home/vash/anduril-1-vash/fsm/main.c", "C", 0, 0, 0, 0, 52, 0, 0, 0, 33, 23, 108
"/home/vash/anduril-1-vash/fsm/main.h", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 4, 4, 11
"/home/vash/anduril-1-vash/fsm/misc.c", "C", 0, 0, 0, 0, 253, 0, 0, 0, 33, 40, 326
"/home/vash/anduril-1-vash/fsm/misc.h", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 16, 13, 66
"/home/vash/anduril-1-vash/fsm/pcint.c", "C", 0, 0, 0, 0, 23, 0, 0, 0, 13, 11, 47
"/home/vash/anduril-1-vash/fsm/pcint.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"/home/vash/anduril-1-vash/fsm/ramping.c", "C", 0, 0, 0, 0, 190, 0, 0, 0, 44, 31, 265
"/home/vash/anduril-1-vash/fsm/ramping.h", "C++", 0, 116, 0, 0, 0, 0, 0, 0, 32, 23, 171
"/home/vash/anduril-1-vash/fsm/random.c", "C", 0, 0, 0, 0, 9, 0, 0, 0, 4, 4, 17
"/home/vash/anduril-1-vash/fsm/random.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 4, 4, 13
"/home/vash/anduril-1-vash/fsm/spaghetti-monster.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 18, 13, 79
"/home/vash/anduril-1-vash/fsm/standby.c", "C", 0, 0, 0, 0, 67, 0, 0, 0, 20, 19, 106
"/home/vash/anduril-1-vash/fsm/standby.h", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 24, 14, 69
"/home/vash/anduril-1-vash/fsm/states.c", "C", 0, 0, 0, 0, 65, 0, 0, 0, 25, 16, 106
"/home/vash/anduril-1-vash/fsm/states.h", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 9, 10, 38
"/home/vash/anduril-1-vash/fsm/tk.h", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 19, 8, 41
"/home/vash/anduril-1-vash/fsm/wdt.c", "C", 0, 0, 0, 0, 76, 0, 0, 0, 28, 18, 122
"/home/vash/anduril-1-vash/fsm/wdt.h", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 6, 7, 24
"/home/vash/anduril-1-vash/hw/fireflies/e01/anduril.h", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 15, 14, 56
"/home/vash/anduril-1-vash/hw/fireflies/pl47/219/anduril.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 5, 3, 14
"/home/vash/anduril-1-vash/hw/fireflies/pl47/anduril.h", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 27, 17, 78
"/home/vash/anduril-1-vash/hw/fireflies/pl47/hwdef.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 7, 27
"/home/vash/anduril-1-vash/hw/fireflies/pl47g2/219/anduril.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 5, 3, 14
"/home/vash/anduril-1-vash/hw/fireflies/pl47g2/anduril.h", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 17, 16, 66
"/home/vash/anduril-1-vash/hw/fireflies/rot66/219/anduril.h", "C++", 0, 10, 0, 0, 0, 0, 0, 0, 11, 4, 25
"/home/vash/anduril-1-vash/hw/fireflies/rot66/anduril.h", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 28, 12, 65
"/home/vash/anduril-1-vash/hw/fireflies/rot66/hwdef.h", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 7, 7, 25
"/home/vash/anduril-1-vash/hw/fireflies/rot66g2/anduril.h", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 16, 10, 58
"/home/vash/anduril-1-vash/hw/gchart/fet1-t1616/anduril.h", "C++", 0, 29, 0, 0, 0, 0, 0, 0, 19, 14, 62
"/home/vash/anduril-1-vash/hw/gchart/fet1-t1616/hwdef.h", "C++", 0, 63, 0, 0, 0, 0, 0, 0, 40, 29, 132
